903741	2016.829468
903816	2017.833984
903891	2018.028931
903966	2018.259766
904041	2018.825684
904116	2018.348267
904191	2018.286011
904266	2018.13147
904341	2018.356201
904416	2018.993896
904491	2020.598389
904566	2021.949463
904641	2022.904541
904716	2023.840332
904791	2024.070679
904866	2023.986084
904941	2023.692139
905016	2023.406616
905091	2023.578369
905166	2023.622925
905241	2024.015503
905316	2024.356689
905391	2024.139282
905466	2023.945557
905541	2023.422241
905616	2022.622437
905691	2022.233154
905766	2021.912354
905841	2021.402344
905916	2021.005127
905991	2020.30249
906066	2020.24231
906141	2019.930054
906216	2019.89978
906291	2019.741455
906366	2019.643188
906441	2019.769897
906516	2019.417114
906591	2019.46875
906666	2019.749146
906741	2019.97522
906816	2020.017822
906891	2019.96228
906966	2019.871704
907041	2019.839111
907116	2019.206177
907191	2018.787231
907266	2019.52478
907341	2020.069702
907416	2020.490723
907491	2020.741211
907566	2020.713379
907641	2020.510254
907716	2020.612549
907791	2021.197388
907866	2021.380005
907941	2020.843262
908016	2020.414429
908091	2020.484985
908166	2021.482788
908241	2021.655029
908316	2019.7146
908391	2018.109375
908466	2018.966919
908541	2019.54187
908616	2020.297241
908691	2020.572144
908766	2020.870361
908841	2021.159058
908916	2020.851807
908991	2021.685669
909066	2022.786621
909141	2022.940063
909216	2021.523438
909291	2020.338013
909366	2019.564331
909441	2020.190674
909516	2021.808838
909591	2021.046387
909666	2019.819702
909741	2019.224976
909816	2020.227539
909891	2020.671753
909966	2021.511597
910041	2021.287964
910116	2020.479248
910191	2021.146118
910266	2021.828491
910341	2022.64978
910416	2022.143311
910516	2024.233154
910591	2023.771118
910666	2023.516846
910741	2023.413696
910816	2023.400269
910891	2023.87854
910966	2024.226929
911041	2024.758545
911116	2025.669067
911191	2025.381836
911266	2024.234741
911341	2024.030518
911416	2023.984741
911516	2025.216675
911591	2024.533325
911666	2024.283325
911741	2024.466675
911841	2021
911916	2022.75
911991	2019.952637
912066	2018.824951
912141	2018.241577
912216	2017.986938
912291	2017.771973
912366	2017.407959
912441	2016.75
912516	2016.55481
912591	2017.023926
912666	2016.423828
912741	2016.084106
912816	2015.240723
912891	2015.733276
912966	2017.36792
913041	2017.885132
913116	2012.092529
913191	2013.135864
913266	2013.029663
913341	2012.388428
913416	2013.407593
913491	2015.049316
913566	2016.099121
913641	2015.461914
913716	2013.585571
913866	2014.548706
913941	2012.025757
914016	2011.934326
914091	2013.346436
914166	2013.746582
914241	2013.703979
914316	2012.389404
914391	2009.748413
914466	2008.965942
914541	2010.355591
914616	2010.404663
914691	2010.702026
914766	2012.378174
914891	2010.47998
914966	2009.128052
915041	2008.406372
915116	2009.156494
915191	2009.197998
915266	2009.007202
915341	2009.828003
915416	2010.807983
915491	2012.06665
915566	2013.393311
915641	2014.01001
915716	2014.051636
915791	2013.69165
915866	2012.690552
915941	2011.437744
916016	2010.60498
916091	2009.440552
916166	2008.369019
916241	2008.503052
916316	2009.210571
916391	2008.318359
916466	2007.785889
916541	2007.567139
916616	2006.888428
916691	2006.427856
916766	2006.084717
916841	2005.928955
916916	2005.521484
916991	2004.886353
917066	2004.304321
917141	2004.39209
917216	2003.822754
917291	2003.366333
917366	2002.36084
917441	2002.361572
917516	2002.522583
917591	2002.441895
917666	2001.993896
917741	2001.616211
917816	2001.658325
917891	2001.514771
917966	2001.194702
918041	2000.937012
918116	2001.031128
918191	2000.532959
918266	2000.204834
918341	2000.501587
918416	2000.305664
918491	2000.409058
918566	2001.257446
918641	2001.474976
918716	1999.909912
918791	1997.840576
918866	1996.009644
918941	1995.72876
919016	1996.072266
919091	1996.123535
919166	1996.550781
919241	1997.065186
919316	1997.009155
919391	1996.842529
919466	1995.868408
919541	1996.001221
919616	1996.37439
919691	1996.126587
919766	1997.32605
919841	1998.896484
919916	1998.908569
920041	2000.60022
920116	2001.03125
920191	2000.464844
920266	1999.622803
920341	1998.540161
920416	1999.218018
920491	1999.744019
920566	1999.754028
920641	1999.670532
920716	1999.446167
920791	1998.037476
920866	1997.026733
920941	1997.675659
921016	1998.45874
921091	1998.662109
921166	1999.727173
921241	2000.268921
921316	2000.622803
921391	2001.317383
921466	2002.028931
921541	2003.289551
921616	2003.748413
921691	2003.526367
921766	2003.239258
921841	2003.259521
921916	2003.978882
921991	2005.121948
922066	2004.988159
922141	2004.600708
922216	2003.875488
922291	2003.335815
922366	2003.013672
922441	2003.637207
922516	2003.908813
922591	2003.257568
922666	2002.335938
922741	2001.730835
922816	2001.164795
922891	2000.557983
922966	2000.617432
923041	2001.362427
923116	2001.796021
923191	2001.928345
923266	2001.835205
923341	2001.998047
923416	2002.202515
923491	2002.157104
923566	2002.312012
923641	2003.397095
923716	2004.051392
923791	2004.994141
923866	2005.389404
923941	2005.920044
924016	2006.691406
924091	2007.779541
924166	2008.047363
924241	2008.034058
924316	2008.270752
924391	2008.756348
924466	2009.169067
924541	2009.276733
924616	2009.604004
